"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
1,6,10,5,6,10,9,5,6,6,2,5,8,6,1,7,4,10,7,3,9,1,4,7,10
2,6,6,4,1,4,9,9,9,7,2,1,9,7,5,4,3,5,3,2,9,10,6,7,7
3,7,1,5,7,1,4,3,7,10,3,8,3,7,10,7,8,2,7,8,7,1,7,2,7
4,1,9,2,6,1,6,3,2,10,3,5,3,5,4,7,3,5,9,3,5,9,10,9,4
5,6,3,7,3,8,7,7,5,10,1,3,4,3,4,10,4,7,6,7,8,4,7,1,8
6,4,3,9,8,2,5,2,6,3,4,2,8,3,9,9,1,6,7,2,10,1,8,9,5
7,7,5,2,5,4,8,3,5,9,3,8,1,3,6,2,4,8,4,9,7,7,2,8,5
8,7,10,9,9,9,4,8,9,7,3,1,6,10,5,7,4,8,3,4,7,6,2,5,1
9,5,8,5,5,10,5,1,8,1,7,1,5,3,6,4,10,7,9,3,1,6,5,3,6
10,7,2,1,7,3,5,9,1,9,3,8,10,8,5,5,4,6,3,6,6,1,8,10,2
11,2,1,4,1,5,1,8,10,3,7,1,9,2,3,3,3,9,2,7,4,9,6,5,2
12,4,6,9,2,1,5,4,1,5,5,7,8,8,9,3,8,4,10,1,3,9,5,2,9
13,2,5,8,6,4,2,3,3,1,9,10,6,5,9,7,9,4,8,8,9,3,4,7,2
14,9,2,9,4,7,10,5,6,7,4,6,1,8,9,4,8,2,4,9,10,6,8,5,10
15,6,5,5,8,7,3,10,6,1,6,10,4,4,4,4,2,7,10,5,7,6,6,9,6
16,5,2,5,8,2,8,2,6,3,4,6,6,3,3,9,2,9,4,8,9,9,7,2,6
17,6,4,10,2,9,3,10,9,10,9,4,7,3,4,6,6,1,2,8,9,10,9,5,6
18,6,3,3,10,3,3,2,9,10,9,1,1,2,5,10,1,8,1,7,7,3,3,7,7
19,5,3,2,3,1,2,4,10,3,4,2,4,7,9,4,3,1,8,1,2,6,10,8,4
20,10,5,8,3,4,1,9,8,9,4,2,2,10,7,4,4,2,1,4,5,6,8,7,10
21,7,10,4,9,7,4,4,6,1,5,1,7,9,7,4,6,2,6,8,1,3,1,3,2
22,2,3,5,10,4,1,10,7,4,10,5,5,7,3,6,3,9,2,9,9,8,7,7,5
23,4,5,7,1,3,7,9,7,4,5,9,7,1,1,4,10,7,1,4,3,7,8,7,4
24,7,4,3,1,3,9,10,3,8,2,4,3,4,6,3,7,7,5,5,3,2,8,5,7
25,3,1,3,8,7,7,1,2,9,6,9,5,4,4,3,2,10,7,10,9,2,5,10,3
26,10,9,6,6,2,7,9,7,10,9,8,7,5,6,7,2,1,3,8,3,3,1,10,5
27,7,8,10,8,9,6,2,8,3,8,9,1,5,8,8,3,9,2,4,5,1,7,5,9
28,7,7,1,9,6,5,10,1,9,6,6,6,1,1,7,8,8,9,4,2,2,3,3,9
29,1,2,3,2,5,4,6,7,4,10,5,3,9,8,1,6,6,1,9,10,8,3,9,10
30,6,9,4,5,4,7,8,7,1,8,10,9,6,2,6,10,9,9,10,8,9,5,10,2
31,4,7,6,3,8,2,9,3,2,2,2,1,6,7,6,6,3,1,6,4,5,7,1,1
32,8,7,8,1,6,7,8,3,8,10,7,6,5,2,7,10,10,10,2,9,5,10,10,8
33,9,5,6,7,1,9,2,5,6,8,3,1,6,4,6,2,8,5,4,1,6,9,5,2
34,5,3,1,8,10,1,5,10,8,10,5,10,2,8,4,2,7,4,4,10,9,6,6,8
35,9,6,9,5,5,2,8,9,2,3,6,8,9,10,8,9,9,4,2,6,10,10,8,1
36,8,10,9,8,10,8,3,5,3,2,2,5,3,5,10,10,3,8,4,4,7,10,10,9
37,7,3,6,2,9,2,3,3,6,9,8,1,1,5,5,4,8,2,9,8,2,4,7,10
38,4,8,8,10,2,9,2,9,3,1,4,1,10,2,5,2,4,4,1,8,4,2,8,8
39,4,3,5,10,1,7,4,5,3,3,8,1,3,6,3,3,3,10,3,2,5,6,3,8
40,7,8,5,4,10,10,8,8,8,9,10,3,2,1,2,5,3,5,10,6,2,4,8,1
41,10,2,2,7,5,4,8,7,2,8,10,2,10,1,9,5,7,10,5,10,7,9,5,10
42,8,5,3,8,5,9,1,4,9,3,1,3,7,6,9,8,10,6,4,5,2,10,1,3
43,7,6,6,2,3,4,6,10,8,6,8,2,10,9,8,6,2,3,8,8,1,7,8,6
44,10,8,3,2,1,2,2,3,1,1,10,4,3,1,7,4,4,10,2,9,3,8,2,8
45,10,9,7,10,5,5,3,3,5,5,5,3,2,7,10,4,9,10,9,9,8,6,1,9
46,3,10,4,10,8,3,4,6,7,8,9,10,6,4,4,6,2,10,8,8,4,9,4,8
47,10,2,7,10,2,2,5,4,3,2,8,6,2,9,2,2,6,7,5,10,5,7,6,2
48,7,5,7,8,2,9,3,9,6,2,10,3,4,1,8,5,3,9,3,2,9,10,3,2
49,7,8,2,1,9,10,4,7,4,1,8,1,2,10,4,8,2,2,1,2,4,4,2,2
50,5,1,5,8,7,7,9,2,1,8,3,9,5,7,2,6,10,4,7,7,10,7,6,8
51,5,1,8,8,5,8,8,5,5,3,2,1,10,2,6,8,9,5,3,1,7,1,3,6
52,6,7,3,1,10,8,5,7,7,8,3,5,7,1,1,4,10,7,6,6,2,4,9,4
53,4,2,7,2,6,8,4,4,8,9,7,5,5,9,4,2,2,7,4,2,10,9,7,9
54,1,2,3,1,3,10,4,8,1,9,9,1,6,10,3,3,6,9,5,2,5,6,9,3
55,10,4,7,8,9,1,2,2,8,10,5,6,10,6,2,9,9,2,4,10,7,10,4,9
56,5,1,2,4,2,8,3,1,4,6,6,4,10,10,3,3,2,7,6,2,8,8,6,8
57,1,2,5,4,10,8,1,8,5,4,1,7,5,5,7,3,10,2,10,6,8,1,2,10
58,6,2,2,1,10,2,7,2,6,10,7,1,2,5,3,7,6,10,4,10,5,5,2,5
59,3,7,1,9,3,1,6,7,5,9,1,7,1,7,4,10,5,5,4,6,9,10,1,3
60,2,5,3,10,7,1,10,2,10,4,6,1,2,9,5,5,3,1,6,8,1,10,4,10
61,5,9,7,8,10,7,1,1,4,10,4,5,1,6,4,8,9,3,4,1,3,4,2,4
