"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
1,6,2,1,4,10,3,8,2,8,8,9,2,10,1,2,5,1,9,8,2,8,3,2,3
2,6,5,4,6,9,3,6,7,8,10,10,2,3,1,4,1,2,1,10,9,9,3,2,4
3,5,1,2,10,6,10,1,7,8,3,6,5,5,3,8,5,6,1,9,9,8,5,1,10
4,1,4,4,2,1,10,2,9,4,5,1,8,8,2,2,6,9,3,5,8,1,8,9,9
5,8,10,8,3,7,3,9,9,9,4,10,5,6,10,2,5,9,2,10,8,6,8,4,6
6,2,5,7,6,2,1,7,2,6,3,5,2,9,8,2,8,10,1,4,2,3,2,5,2
7,3,1,2,10,8,10,2,3,3,6,9,10,3,2,8,3,7,2,1,9,2,2,10,3
8,6,1,1,5,3,2,2,3,2,10,7,9,2,6,2,10,8,4,2,2,10,4,5,5
9,1,2,3,8,1,3,4,10,8,5,9,10,9,10,1,6,10,10,1,2,7,1,5,8
10,8,9,10,2,9,2,6,5,3,1,3,6,2,10,10,9,7,9,8,6,1,8,2,6
11,6,4,3,8,8,3,5,7,9,5,8,2,8,4,7,5,8,1,4,6,5,5,8,1
12,9,1,9,8,3,3,3,4,9,1,9,2,10,7,6,10,3,9,5,2,5,6,6,3
13,1,3,9,4,8,2,10,10,7,3,1,9,2,7,10,1,9,4,6,5,1,2,6,2
14,1,8,10,10,9,7,1,10,10,1,4,2,10,9,1,4,9,6,9,6,7,7,4,5
15,9,4,7,2,7,3,1,5,6,7,8,3,9,8,10,3,10,3,10,2,10,6,1,10
16,4,5,10,2,10,6,9,10,8,8,3,1,1,3,9,5,6,3,8,7,7,8,4,1
17,9,7,1,7,7,8,1,4,2,2,8,2,8,6,5,7,3,3,7,9,10,3,10,1
18,9,3,9,6,3,2,10,3,8,5,8,5,5,3,6,2,5,8,7,9,9,3,2,3
19,10,2,7,4,9,9,4,10,8,1,6,3,9,3,2,3,2,7,4,1,5,1,1,5
20,4,2,8,4,1,5,10,4,7,1,2,3,10,4,5,9,7,4,2,7,6,9,4,8
21,2,8,5,8,10,4,3,9,3,9,4,5,2,8,5,10,1,3,8,3,6,1,3,1
